,0,1,id,year,place,printer,initial
269,-8.594074,25.911417,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p121,584,4747,517,467.jpg"
270,-34.485714,-22.669127,1835,1571,Florence,"Giunta, Jacopo","1835_sacrobosco_sfera_1571_p25,161,454,292,276.jpg"
271,-51.387436,-16.346579,1941,1531,Venice,"Giunta, Lucantonio","1941_sabbioneta_tractatvs_1531_p369,66,1557,326,344.jpg"
272,46.480198,-39.400177,2077,1551,Seville,"Alvares, António","2077_Cortes_Arte_1551_p22,279,197,130,134.jpg"
273,-21.296865,44.002,2281,1582,Antwerp,"Bellère, Jean","2281_giuntini_emendata_1582_p202,606,394,299,303.jpg"
274,61.866936,-0.49194658,2261,1614,Leipzig,"Hermann, Johann","2261_triegler_sphaera_1614_p77,423,1327,170,164.jpg"
275,46.145103,-17.051641,1807,1581,Rome,Company Francesco Zanetti & Domenico Basa,"1807_clavius_sphaeram_1581_p146,133,174,149,149.jpg"
276,-43.91043,-13.856041,2223,1584,London,Widow of Richard Jugge (Joan Jugge),"2223_cortes_arte_1584_p16,2979,2739,628,634.jpg"
277,16.179907,-31.948032,1898,1578,Wittenberg,Company Heirs of Peter I. Seitz,"1898_melanchthon_libellus_1578_p8,139,340,166,184.jpg"
278,38.22287,2.9034543,1962,1619,Paris,"Quesnel, Jacques","1962_vinet_sphaera_1619_p43,395,341,203,206.jpg"
279,37.155888,-22.279982,1813,1602,Lyon,"Gabiano, Jean de","1813_clavius_sphaera_1602_p319,193,1594,157,135.jpg"
280,61.41391,-26.400599,2077,1551,Seville,"Alvares, António","2077_Cortes_Arte_1551_p30,1094,369,120,135.jpg"
281,-52.431877,0.5142096,1928,1485,Venice,"Ratdolt, Erhard","1928_sacrobosco_noviciis_1485_p94,100,283,324,355.jpg"
282,-26.574568,42.20542,2278,1601,Venice,"Ciotti, Giovanni Battista","2278_clavius_commentarius_1601_p324,875,883,446,459.jpg"
283,12.44557,-13.829326,1925,1490,Venice,"Locatello, Boneto","1925_sacrobosco_sphaerae_1494_p44,280,1799,216,216.jpg"
284,-17.623037,-12.640892,1695,1548,Venice,"Nicolini da Sabbio, Pietro","1695_sacrobosco_sphaera_1548_p6,113,349,219,251.jpg"
285,-25.29284,-16.982208,2240,1548,Antwerp,"Loe, Jan vander","2240_dodoens_isagoge_1548_p12,293,930,527,551.jpg"
286,-10.9741125,-43.363873,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p120,635,1747,265,282.jpg"
287,-47.92982,16.411259,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p655,90,572,316,311.jpg"
288,56.627132,11.56808,1816,1607,Lyon,Jacques du Creux a.k.a. Molliard,"1816_clavius_sphaeram_1607_p11,442,500,424,347.jpg"
289,-52.025333,18.041933,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p475,98,1070,301,311.jpg"
290,-0.8490314,-6.6724763,2246,1583,London,"Middleton, Henry","2246_scribonius_rerum_1583_p85,1895,584,367,367.jpg"
291,36.731674,52.40362,1659,1518,Venice,Company Heirs of Ottaviano Scoto I.,"1659_sacrobosco_sphera_1518_p41,2517,3567,434,424.jpg"
292,61.688663,-2.8151352,1980,1622,Leipzig,"Jansonius, Justus","1980_triegler_tractaetlein_1622_p202,305,193,170,182.jpg"
